epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.643,3.20817,4.54716,3.92752,0.00433,0.56917,0.01415,0.0042,2.49649,4.1395,3.22936,0.00012474,0.00012474,0.00012474
2,1384.28,2.18777,3.4483,2.62099,0.30708,0.18285,0.05866,0.02175,2.18899,3.45814,2.56917,0.000244795,0.000244795,0.000244795
3,2066.95,1.91457,3.16922,2.3094,0.24628,0.1911,0.08627,0.03449,2.03855,3.14563,2.33808,0.0003599,0.0003599,0.0003599
4,2742.08,1.81897,3.02836,2.20311,0.1823,0.22591,0.09843,0.04463,1.93232,3.09207,2.24797,0.000470055,0.000470055,0.000470055
5,3369.78,1.75992,2.94552,2.13807,0.26155,0.26876,0.14445,0.06497,1.96053,2.79886,2.16479,0.00057526,0.00057526,0.00057526
6,3999.71,1.70681,2.8562,2.07608,0.29013,0.24785,0.16478,0.0759,1.89034,2.791,2.17165,0.000563125,0.000563125,0.000563125
7,4625.34,1.68769,2.77733,2.04749,0.21547,0.29195,0.20379,0.10218,1.84729,2.62049,2.13614,0.00055075,0.00055075,0.00055075
8,5247.27,1.66387,2.72012,2.02043,0.2786,0.30013,0.23211,0.11805,1.83268,2.51947,2.06858,0.000538375,0.000538375,0.000538375
9,5873.46,1.6352,2.65159,1.9975,0.30981,0.35633,0.28131,0.13816,1.82613,2.46155,2.1296,0.000526,0.000526,0.000526
10,6507.78,1.61829,2.60982,1.98089,0.33929,0.34984,0.29741,0.16304,1.74197,2.36536,2.00734,0.000513625,0.000513625,0.000513625
11,7134.48,1.61331,2.54349,1.96915,0.30833,0.3978,0.3347,0.18161,1.73689,2.2218,2.01105,0.00050125,0.00050125,0.00050125
12,7768.33,1.59582,2.47497,1.9523,0.33003,0.38742,0.36238,0.19152,1.77655,2.20257,2.05747,0.000488875,0.000488875,0.000488875
13,8400.96,1.58518,2.4458,1.93863,0.36077,0.40922,0.37993,0.20256,1.71746,2.18844,1.9924,0.0004765,0.0004765,0.0004765
14,9030.7,1.5693,2.3869,1.91974,0.39833,0.44064,0.4094,0.2222,1.70861,2.08693,2.00305,0.000464125,0.000464125,0.000464125
15,9654.43,1.57023,2.36571,1.91139,0.45543,0.40777,0.41656,0.22675,1.67709,2.07526,1.9478,0.00045175,0.00045175,0.00045175
16,10281.2,1.5622,2.3298,1.9008,0.43159,0.47061,0.4475,0.24455,1.65947,1.95395,1.99045,0.000439375,0.000439375,0.000439375
17,10903.4,1.54633,2.28691,1.88793,0.47159,0.44954,0.44784,0.24711,1.66905,1.93675,1.93205,0.000427,0.000427,0.000427
18,11532.8,1.53757,2.26129,1.87314,0.45594,0.4569,0.45712,0.25923,1.65056,1.90258,1.93223,0.000414625,0.000414625,0.000414625
19,12165.7,1.52719,2.23971,1.86553,0.48713,0.48035,0.47514,0.26577,1.6562,1.85205,1.95449,0.00040225,0.00040225,0.00040225
20,12802.8,1.52104,2.20722,1.86078,0.52049,0.49569,0.50189,0.2856,1.65135,1.78856,1.9298,0.000389875,0.000389875,0.000389875
21,13442.2,1.5066,2.16386,1.84972,0.51145,0.47451,0.49662,0.28164,1.62385,1.81174,1.91031,0.0003775,0.0003775,0.0003775
22,14079,1.50504,2.1469,1.84852,0.49976,0.52381,0.51715,0.29774,1.59761,1.76019,1.87657,0.000365125,0.000365125,0.000365125
23,14742.3,1.49298,2.12705,1.83098,0.58264,0.4914,0.52659,0.30041,1.60145,1.71542,1.8863,0.00035275,0.00035275,0.00035275
24,15401.7,1.49052,2.11321,1.8321,0.54371,0.52056,0.53217,0.30611,1.58132,1.70175,1.85604,0.000340375,0.000340375,0.000340375
25,16033.7,1.48328,2.08728,1.82328,0.56293,0.50852,0.53207,0.31046,1.58476,1.69169,1.86571,0.000328,0.000328,0.000328
26,16668.5,1.47866,2.05381,1.81661,0.54263,0.53829,0.54311,0.315,1.56263,1.67845,1.83648,0.000315625,0.000315625,0.000315625
27,17301.6,1.4701,2.04217,1.81491,0.56447,0.55099,0.56125,0.32579,1.56665,1.62209,1.85042,0.00030325,0.00030325,0.00030325
28,17948.4,1.4741,2.02166,1.8099,0.56267,0.53667,0.54722,0.31918,1.57224,1.62292,1.85434,0.000290875,0.000290875,0.000290875
29,18587.6,1.46082,1.99068,1.7989,0.59239,0.54369,0.57096,0.3304,1.58896,1.58453,1.85679,0.0002785,0.0002785,0.0002785
30,19221.6,1.45575,1.98011,1.79845,0.58839,0.5444,0.57008,0.32962,1.56742,1.58615,1.83815,0.000266125,0.000266125,0.000266125
31,19858.6,1.44343,1.95224,1.7851,0.62289,0.51678,0.56289,0.32698,1.56429,1.61977,1.84181,0.00025375,0.00025375,0.00025375
32,20489.1,1.45428,1.96144,1.79107,0.60874,0.55433,0.57987,0.33354,1.56687,1.56076,1.83628,0.000241375,0.000241375,0.000241375
