epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,693.771,3.12948,4.64081,3.91767,0.00253,0.57517,0.00513,0.00166,2.49528,4.49064,3.2368,0.00012474,0.00012474,0.00012474
2,1381.5,2.20364,3.63241,2.65293,0.22378,0.12783,0.04377,0.01443,2.2391,3.62197,2.64466,0.000244795,0.000244795,0.000244795
3,2063.25,1.95061,3.27297,2.35474,0.33238,0.18052,0.06496,0.0256,2.10711,3.30419,2.40677,0.0003599,0.0003599,0.0003599
4,2745.97,1.83822,3.09403,2.23005,0.20414,0.22292,0.09309,0.03885,1.95904,3.11611,2.27286,0.000470055,0.000470055,0.000470055
5,3427.31,1.78128,2.9976,2.15417,0.35402,0.21504,0.12195,0.05605,1.94572,2.928,2.17021,0.00057526,0.00057526,0.00057526
6,4104.54,1.71814,2.90781,2.08702,0.14598,0.18712,0.11721,0.05138,1.9542,2.99308,2.20572,0.000563125,0.000563125,0.000563125
7,4781.66,1.69606,2.83883,2.05563,0.25839,0.26817,0.18457,0.09546,1.81053,2.65997,2.04159,0.00055075,0.00055075,0.00055075
8,5459.63,1.68539,2.78041,2.03414,0.32829,0.27406,0.22851,0.11607,1.80626,2.5204,2.01958,0.000538375,0.000538375,0.000538375
9,6136.89,1.64777,2.71506,2.009,0.34202,0.31169,0.24622,0.12654,1.79892,2.62308,2.07627,0.000526,0.000526,0.000526
10,6813.52,1.63809,2.67194,1.99314,0.33269,0.34476,0.28606,0.15437,1.75465,2.40312,2.00069,0.000513625,0.000513625,0.000513625
11,7490.84,1.63135,2.61806,1.98077,0.27641,0.35655,0.30778,0.16558,1.72303,2.32406,1.96079,0.00050125,0.00050125,0.00050125
12,8169.3,1.61188,2.56314,1.96168,0.30896,0.37915,0.33906,0.1745,1.76055,2.32451,2.03005,0.000488875,0.000488875,0.000488875
13,8848.86,1.60073,2.53237,1.94938,0.41744,0.38097,0.35272,0.18818,1.71827,2.31421,1.9644,0.0004765,0.0004765,0.0004765
14,9526.45,1.59098,2.47711,1.93308,0.4104,0.37182,0.35257,0.18676,1.72453,2.35,2.00283,0.000464125,0.000464125,0.000464125
15,10203.4,1.58791,2.46328,1.93243,0.38009,0.4095,0.39228,0.21482,1.68392,2.13719,1.94923,0.00045175,0.00045175,0.00045175
16,10880.7,1.57714,2.42143,1.91235,0.4111,0.39736,0.40203,0.21296,1.72025,2.0743,1.97386,0.000439375,0.000439375,0.000439375
17,11558.6,1.57092,2.37674,1.90405,0.40269,0.42878,0.41175,0.22892,1.67045,2.00601,1.90129,0.000427,0.000427,0.000427
18,12238,1.55555,2.35099,1.89278,0.42798,0.427,0.4211,0.23329,1.66017,2.00717,1.90704,0.000414625,0.000414625,0.000414625
19,12914.9,1.54792,2.33107,1.88571,0.40137,0.46082,0.43361,0.24066,1.65478,1.95415,1.90311,0.00040225,0.00040225,0.00040225
20,13594.2,1.53781,2.30016,1.8754,0.45745,0.4619,0.45455,0.24759,1.66784,1.89736,1.89683,0.000389875,0.000389875,0.000389875
21,14270.8,1.52396,2.25684,1.86438,0.43761,0.47474,0.46151,0.25595,1.62317,1.91457,1.87738,0.0003775,0.0003775,0.0003775
22,14949.3,1.52848,2.2449,1.86935,0.50572,0.46983,0.4698,0.25902,1.6525,1.8799,1.87575,0.000365125,0.000365125,0.000365125
23,15625,1.51567,2.22284,1.85114,0.48394,0.49532,0.48288,0.26621,1.61961,1.84885,1.87335,0.00035275,0.00035275,0.00035275
24,16302.1,1.51429,2.21499,1.85118,0.47386,0.48661,0.48805,0.27571,1.60266,1.82476,1.82769,0.000340375,0.000340375,0.000340375
25,16979.1,1.49825,2.18167,1.8376,0.54503,0.47839,0.50163,0.28323,1.6096,1.79359,1.84832,0.000328,0.000328,0.000328
26,17653.6,1.50156,2.15377,1.83787,0.50716,0.5003,0.50431,0.28768,1.60182,1.78218,1.84191,0.000315625,0.000315625,0.000315625
27,18329.5,1.49677,2.14972,1.83756,0.57926,0.47691,0.51481,0.29308,1.60284,1.73696,1.82715,0.00030325,0.00030325,0.00030325
28,19007.6,1.49936,2.13027,1.82732,0.56501,0.51756,0.52293,0.29493,1.58436,1.71073,1.81605,0.000290875,0.000290875,0.000290875
29,19683.9,1.48094,2.10296,1.81582,0.54405,0.51421,0.51677,0.29527,1.59237,1.68968,1.82241,0.0002785,0.0002785,0.0002785
30,20360.6,1.47977,2.08198,1.8144,0.58655,0.51908,0.52868,0.30145,1.58513,1.69048,1.8124,0.000266125,0.000266125,0.000266125
