epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,931.7,6.19424,10.5975,8.01227,0.00218,0.36841,0.00425,0.00121,4.66349,10.7745,6.48276,0.00012474,0.00012474,0.00012474
2,1828.09,4.14325,8.10114,5.19927,0.00477,0.66961,0.03231,0.01289,3.95516,8.3456,4.97171,0.000244795,0.000244795,0.000244795
3,2700.98,3.56004,7.06364,4.3297,0.32668,0.12853,0.05108,0.02238,3.90722,7.15149,4.48718,0.0003599,0.0003599,0.0003599
4,3573.74,3.5086,6.63927,4.14618,0.53211,0.15475,0.0715,0.03326,3.78599,6.41537,4.26287,0.000470055,0.000470055,0.000470055
5,4475.66,3.46562,6.3739,4.02774,0.51397,0.21725,0.09788,0.04503,3.74977,6.07383,4.12465,0.00057526,0.00057526,0.00057526
6,5358.13,3.36313,6.14828,3.89829,0.35406,0.18723,0.10622,0.05131,3.65088,5.88018,3.99626,0.000563125,0.000563125,0.000563125
7,6225.12,3.32823,6.01447,3.85582,0.29642,0.21285,0.13431,0.06863,3.69512,5.65931,3.99672,0.00055075,0.00055075,0.00055075
8,7096.3,3.30856,5.92513,3.81179,0.26672,0.24032,0.14533,0.07486,3.57979,5.59332,3.89909,0.000538375,0.000538375,0.000538375
9,7965.42,3.24107,5.74889,3.75776,0.31011,0.27362,0.2064,0.10564,3.64696,5.24721,3.88033,0.000526,0.000526,0.000526
10,8837.33,3.23,5.66915,3.72381,0.30359,0.28427,0.23345,0.13081,3.47741,5.12385,3.82993,0.000513625,0.000513625,0.000513625
11,9692.96,3.19138,5.52968,3.69816,0.32118,0.30396,0.26641,0.14626,3.44463,4.77618,3.71242,0.00050125,0.00050125,0.00050125
12,10537.7,3.15178,5.40639,3.66525,0.34742,0.3205,0.28659,0.15964,3.3982,4.71205,3.69263,0.000488875,0.000488875,0.000488875
13,11390.2,3.15637,5.34429,3.6651,0.37943,0.34459,0.30675,0.17165,3.42601,4.55477,3.7408,0.0004765,0.0004765,0.0004765
14,12263.7,3.12484,5.22596,3.62888,0.41555,0.35653,0.33922,0.18924,3.41883,4.33522,3.67655,0.000464125,0.000464125,0.000464125
15,13135.9,3.10077,5.15033,3.61889,0.44422,0.36426,0.34681,0.18868,3.38841,4.44548,3.6765,0.00045175,0.00045175,0.00045175
16,13990,3.08035,5.0735,3.58442,0.39683,0.38887,0.35066,0.20057,3.32684,4.18395,3.61181,0.000439375,0.000439375,0.000439375
17,14838.4,3.05453,5.00465,3.58034,0.47704,0.39064,0.3712,0.20788,3.36213,4.15911,3.62702,0.000427,0.000427,0.000427
18,15688.4,3.07037,4.94603,3.56137,0.47204,0.41602,0.39495,0.22431,3.30878,4.04278,3.60666,0.000414625,0.000414625,0.000414625
19,16555.7,3.04372,4.86871,3.53086,0.40631,0.42774,0.39679,0.22188,3.27167,3.98844,3.57779,0.00040225,0.00040225,0.00040225
20,17420.2,3.0134,4.81,3.52658,0.42126,0.45887,0.42422,0.24094,3.28331,3.82482,3.58759,0.000389875,0.000389875,0.000389875
21,18268.4,3.01874,4.74672,3.52037,0.44352,0.44096,0.42626,0.24232,3.21134,3.82434,3.54725,0.0003775,0.0003775,0.0003775
22,19106.2,2.98503,4.71697,3.49638,0.42304,0.46534,0.43687,0.25477,3.20693,3.69506,3.50237,0.000365125,0.000365125,0.000365125
23,19948.6,2.98831,4.66683,3.5001,0.43705,0.46184,0.43645,0.2555,3.15027,3.72428,3.49412,0.00035275,0.00035275,0.00035275
24,20807,2.98675,4.58218,3.47888,0.45226,0.45599,0.4591,0.26356,3.19798,3.62704,3.51448,0.000340375,0.000340375,0.000340375
25,21683.3,2.95493,4.57728,3.47084,0.4787,0.50188,0.48059,0.27588,3.20427,3.56081,3.498,0.000328,0.000328,0.000328
26,22556.4,2.9357,4.47861,3.44741,0.46653,0.48867,0.47419,0.27522,3.16129,3.63895,3.46342,0.000315625,0.000315625,0.000315625
27,23429.8,2.95401,4.44162,3.45125,0.47106,0.48496,0.48212,0.27269,3.21982,3.65442,3.52502,0.00030325,0.00030325,0.00030325
28,24289.9,2.9338,4.43321,3.44074,0.49923,0.48206,0.48224,0.2789,3.16389,3.50473,3.46709,0.000290875,0.000290875,0.000290875
29,25133.3,2.93187,4.36252,3.42949,0.46902,0.50079,0.4873,0.2853,3.16103,3.49226,3.45205,0.0002785,0.0002785,0.0002785
30,26021.3,2.90683,4.31511,3.40958,0.48259,0.5049,0.48554,0.28779,3.10147,3.4635,3.42205,0.000266125,0.000266125,0.000266125
31,26911.2,2.89525,4.28791,3.39669,0.50512,0.49678,0.49559,0.28737,3.1596,3.41456,3.43872,0.00025375,0.00025375,0.00025375
32,27805.8,2.87884,4.24658,3.39876,0.52798,0.48674,0.49932,0.29021,3.16183,3.40874,3.44032,0.000241375,0.000241375,0.000241375
33,28723.6,2.88341,4.21639,3.38782,0.55142,0.49991,0.5196,0.30222,3.14597,3.31954,3.42631,0.000229,0.000229,0.000229
34,29630.7,2.86846,4.21085,3.37614,0.56566,0.51621,0.53274,0.30913,3.10989,3.27571,3.38999,0.000216625,0.000216625,0.000216625
35,30540.7,2.83068,4.15354,3.35689,0.53386,0.54151,0.53031,0.31046,3.11447,3.27627,3.39517,0.00020425,0.00020425,0.00020425
