epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.71,3.10194,4.50122,3.90996,0.00328,0.51754,0.00756,0.00211,2.61201,6.81307,3.54542,0.00012474,0.00012474,0.00012474
2,2035.04,2.16599,3.58162,2.74881,0.229,0.12911,0.05914,0.01859,2.35564,3.6815,3.13276,0.000244795,0.000244795,0.000244795
3,3035.73,1.87091,3.19933,2.43272,0.33774,0.19245,0.10373,0.04206,2.0652,3.17575,2.82916,0.0003599,0.0003599,0.0003599
4,4035.83,1.79175,3.02526,2.33102,0.28368,0.23779,0.15227,0.06523,2.02154,2.99389,2.7892,0.000470055,0.000470055,0.000470055
5,5028.87,1.75356,2.92472,2.265,0.31593,0.27631,0.19235,0.0888,1.96165,2.85921,2.69966,0.00057526,0.00057526,0.00057526
6,6019.79,1.70887,2.82813,2.2118,0.3074,0.27066,0.22222,0.09844,2.00001,2.75312,2.7037,0.000563125,0.000563125,0.000563125
7,7012.85,1.68238,2.7621,2.18375,0.32771,0.30169,0.26041,0.12197,1.90511,2.57446,2.56172,0.00055075,0.00055075,0.00055075
8,8004.4,1.66433,2.70513,2.1569,0.28039,0.33647,0.26427,0.12875,1.92485,2.4695,2.58891,0.000538375,0.000538375,0.000538375
9,8995.41,1.63418,2.63676,2.12996,0.41325,0.34493,0.31362,0.15124,1.90174,2.4062,2.5552,0.000526,0.000526,0.000526
10,9985.04,1.63034,2.61088,2.11636,0.33063,0.37447,0.32961,0.16646,1.82219,2.32044,2.47111,0.000513625,0.000513625,0.000513625
11,10975.2,1.62934,2.5662,2.1025,0.35911,0.37889,0.33334,0.16773,1.82939,2.30369,2.46011,0.00050125,0.00050125,0.00050125
12,11965.5,1.61096,2.51719,2.0852,0.43178,0.36861,0.34833,0.17003,1.84415,2.29471,2.44933,0.000488875,0.000488875,0.000488875
13,12954.7,1.59761,2.50175,2.07751,0.33402,0.38636,0.36647,0.18976,1.78166,2.21838,2.40211,0.0004765,0.0004765,0.0004765
14,13947.5,1.5902,2.45212,2.06085,0.38367,0.40946,0.37935,0.19631,1.81637,2.13719,2.44033,0.000464125,0.000464125,0.000464125
15,14938.7,1.58912,2.43994,2.05631,0.43724,0.40764,0.3878,0.20168,1.79912,2.14208,2.4064,0.00045175,0.00045175,0.00045175
16,15934.5,1.5859,2.41161,2.04693,0.51242,0.40678,0.41645,0.21448,1.80038,2.03776,2.39904,0.000439375,0.000439375,0.000439375
17,16922.8,1.57519,2.37271,2.02831,0.42675,0.44443,0.42516,0.22097,1.7745,2.05644,2.37253,0.000427,0.000427,0.000427
18,17913,1.56212,2.35748,2.0175,0.48639,0.43634,0.44039,0.23282,1.77694,1.97412,2.40758,0.000414625,0.000414625,0.000414625
19,18907.5,1.55417,2.33256,2.01004,0.48718,0.45504,0.44906,0.2417,1.72264,1.9439,2.32074,0.00040225,0.00040225,0.00040225
20,19896,1.54732,2.30955,2.00097,0.47706,0.46068,0.45425,0.24263,1.73268,1.91699,2.31599,0.000389875,0.000389875,0.000389875
21,20885.3,1.53336,2.26389,1.99021,0.51605,0.4569,0.46633,0.24755,1.72908,1.90342,2.31737,0.0003775,0.0003775,0.0003775
22,21878.2,1.53886,2.26131,1.9912,0.51576,0.47438,0.48575,0.25758,1.7201,1.86481,2.30614,0.000365125,0.000365125,0.000365125
23,22869.2,1.52487,2.23345,1.97433,0.52227,0.48419,0.49443,0.26683,1.70371,1.84172,2.30366,0.00035275,0.00035275,0.00035275
24,23862,1.52421,2.21889,1.97187,0.5353,0.4636,0.48443,0.26217,1.70439,1.83442,2.3346,0.000340375,0.000340375,0.000340375
25,24856,1.51804,2.19296,1.96542,0.55569,0.47831,0.49789,0.26855,1.67131,1.82527,2.2908,0.000328,0.000328,0.000328
26,25852.7,1.51653,2.17194,1.96365,0.50907,0.50059,0.50293,0.27028,1.69847,1.77992,2.28229,0.000315625,0.000315625,0.000315625
27,26847.7,1.51277,2.16273,1.95179,0.54123,0.49073,0.51063,0.278,1.6919,1.75933,2.27205,0.00030325,0.00030325,0.00030325
28,27839.5,1.51113,2.14881,1.95296,0.55217,0.50681,0.52065,0.27963,1.696,1.73925,2.27983,0.000290875,0.000290875,0.000290875
29,28935.7,1.49582,2.11936,1.94134,0.59625,0.49382,0.52847,0.28749,1.69045,1.71617,2.27888,0.0002785,0.0002785,0.0002785
30,30000,1.49631,2.10281,1.93744,0.60413,0.49783,0.53,0.29103,1.67722,1.72222,2.27255,0.000266125,0.000266125,0.000266125
31,31019.4,1.48529,2.08802,1.93385,0.554,0.50834,0.52501,0.29012,1.67054,1.74557,2.25883,0.00025375,0.00025375,0.00025375
32,32034.5,1.49232,2.09323,1.9358,0.57304,0.51541,0.53264,0.29548,1.66397,1.6992,2.24919,0.000241375,0.000241375,0.000241375
33,33060.4,1.48177,2.05684,1.92542,0.58216,0.50625,0.53343,0.29513,1.67482,1.67989,2.25152,0.000229,0.000229,0.000229
34,34089.4,1.47932,2.03603,1.92593,0.58321,0.52041,0.543,0.30351,1.65925,1.66852,2.25567,0.000216625,0.000216625,0.000216625
35,35116.5,1.47245,2.03579,1.91453,0.59893,0.51827,0.54885,0.30099,1.67026,1.68152,2.23532,0.00020425,0.00020425,0.00020425
36,36143.3,1.46239,2.00809,1.90924,0.56417,0.55237,0.55951,0.30703,1.6602,1.63745,2.23323,0.000191875,0.000191875,0.000191875
37,37174.1,1.47157,2.01812,1.91337,0.58511,0.54966,0.56008,0.30916,1.65501,1.64104,2.2398,0.0001795,0.0001795,0.0001795
38,38197,1.46837,2.00746,1.90491,0.63259,0.51294,0.55633,0.30838,1.64139,1.65419,2.22618,0.000167125,0.000167125,0.000167125
39,39214.8,1.46237,1.99338,1.90337,0.62514,0.53722,0.56373,0.31269,1.65547,1.64082,2.23767,0.00015475,0.00015475,0.00015475
40,40234.4,1.46196,1.96937,1.90584,0.63843,0.51483,0.55768,0.31142,1.63997,1.62957,2.22537,0.000142375,0.000142375,0.000142375
41,41249.2,1.49696,1.57659,2.08395,0.60986,0.53538,0.56641,0.31653,1.63631,1.62236,2.20994,0.00013,0.00013,0.00013
42,42268.6,1.46856,1.51732,2.05415,0.59461,0.54974,0.56537,0.3198,1.63423,1.62148,2.199,0.000117625,0.000117625,0.000117625
43,43290.3,1.45268,1.49184,2.04421,0.61661,0.5387,0.57016,0.32238,1.62803,1.59061,2.20565,0.00010525,0.00010525,0.00010525
44,44326.1,1.44259,1.47879,2.03723,0.59475,0.54123,0.56693,0.32104,1.6226,1.58203,2.20076,9.2875e-05,9.2875e-05,9.2875e-05
45,45345,1.43836,1.46422,2.02984,0.6275,0.54269,0.57277,0.32829,1.61175,1.57701,2.1937,8.05e-05,8.05e-05,8.05e-05
46,46356.7,1.43196,1.43694,2.02544,0.62976,0.53696,0.57425,0.3239,1.61901,1.57194,2.19688,6.8125e-05,6.8125e-05,6.8125e-05
47,47396.1,1.41833,1.43393,2.01242,0.62756,0.54955,0.57939,0.32785,1.61755,1.56759,2.19338,5.575e-05,5.575e-05,5.575e-05
48,48445.1,1.41237,1.41576,2.00795,0.64718,0.54971,0.58338,0.33078,1.60882,1.56169,2.18652,4.3375e-05,4.3375e-05,4.3375e-05
49,49479.4,1.40722,1.39449,1.99494,0.66441,0.53643,0.58389,0.33286,1.61544,1.56162,2.18632,3.1e-05,3.1e-05,3.1e-05
50,50541.1,1.39986,1.39409,1.98903,0.6204,0.55466,0.58449,0.33129,1.60865,1.56084,2.18486,1.8625e-05,1.8625e-05,1.8625e-05
